FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
1,0.037037037037037035,0.06329113924050632,0.0547945205479452,0.043478260869565216,0.5,1.5,1,0,0,2,1,3,3,2,0,0,0,0,0,0,0,0,-0.25,0.5,-1.0,-1.0,9.0,0.0,1.0
1,0.02469135802469136,0.08860759493670886,0.0684931506849315,0.14492753623188406,0.5,0.5,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,-0.75,-0.75,0.0,0.0,10.0,0.0,1.0
0,0.02469135802469136,0.012658227848101266,0.0410958904109589,0.07246376811594203,0.5,0.75,0,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0,-0.25,-1.0,-0.25,-0.25,-16.0,1.0,0.0
1,0.037037037037037035,0.05063291139240506,0.0410958904109589,0.07246376811594203,1.0,0.75,1,0,3,2,1,3,1,2,0,0,0,0,0,0,0,0,0.0,-0.25,0.25,0.25,2.0,0.0,1.0
1,0.04938271604938271,0.08860759493670886,0.0136986301369863,0.08695652173913042,2.0,1.2,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.6,0.2,0.8,0.8,3.0,0.0,1.0
1,0.012345679012345678,0.06329113924050632,0.0547945205479452,0.08695652173913042,0.4,0.6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.6,-0.2,-0.2,-0.2,5.0,0.0,1.0
1,0.037037037037037035,0.06329113924050632,0.1232876712328767,0.07246376811594203,0.4,1.0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,-1.2,0.0,-0.6,-0.6,-1.0,0.0,1.0
1,0.012345679012345678,0.02531645569620253,0.1232876712328767,0.043478260869565216,0.6,0.8,1,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,-1.6,-0.2,-0.2,-0.2,7.0,0.0,1.0
1,0.09876543209876544,0.10126582278481013,0.0684931506849315,0.043478260869565216,1.8,1.4,1,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0.6,1.0,0.4,0.4,0.0,0.0,1.0
0,0.07407407407407407,0.0759493670886076,0.0958904109589041,0.07246376811594203,0.8,1.2,0,1,3,1,1,3,1,3,0,0,0,0,0,0,0,0,-0.2,0.2,-0.4,-0.4,10.0,1.0,0.0
