FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
H,0.21,0.16666666666666666,0.024096385542168676,0.08860759493670886,2.142857142857143,1.5714285714285714,L,W,W,W,W,L,D,W,W,W,1,0,0,0,1,0,0,0,2.7142857142857144,1.2857142857142858,0.5714285714285714,0.2857142857142857,-2.0
NH,0.06,0.09375,0.10843373493975904,0.17721518987341772,0.8571428571428571,1.0,D,L,D,W,L,L,L,W,D,L,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.7142857142857143,-0.14285714285714285,0.14285714285714285,-11.0
H,0.07,0.09375,0.024096385542168676,0.10126582278481013,1.5714285714285714,1.0,W,W,D,L,W,L,W,L,D,W,0,0,0,0,0,0,0,0,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.42857142857142855,-13.0
H,0.16,0.07291666666666667,0.10843373493975904,0.12658227848101267,1.375,0.875,L,L,D,W,W,L,D,L,D,D,0,0,0,0,0,0,0,0,0.875,-0.375,0.5,0.5,-6.0
NH,0.09,0.23958333333333334,0.14457831325301204,0.02531645569620253,1.25,2.25,L,W,D,L,W,W,L,W,W,W,0,0,0,0,1,0,0,0,-0.375,2.625,-1.0,-0.625,5.0
H,0.1,0.08333333333333333,0.13253012048192772,0.11392405063291139,1.0,1.25,D,D,D,L,D,W,W,D,W,L,0,0,0,0,0,0,0,0,-0.125,-0.125,-0.25,-0.75,3.0
NH,0.08,0.08333333333333333,0.08433734939759036,0.0759493670886076,1.125,1.375,D,D,D,W,D,W,L,W,D,L,0,0,0,0,0,0,0,0,0.125,0.25,-0.25,0.0,8.0
NH,0.16,0.09375,0.10843373493975904,0.1518987341772152,1.625,1.375,D,D,W,D,W,D,W,W,D,L,0,0,0,0,0,0,0,0,0.875,-0.375,0.25,0.125,-16.0
NH,0.1,0.041666666666666664,0.12048192771084337,0.16455696202531644,0.875,1.0,L,L,W,L,D,W,D,L,D,W,0,0,0,0,0,0,0,0,0.0,-1.125,-0.125,-0.5,2.0
NH,0.07,0.052083333333333336,0.14457831325301204,0.17721518987341772,0.625,0.625,L,L,L,L,D,D,W,D,L,L,0,0,0,0,0,0,0,0,-0.625,-1.125,0.0,-0.5,-2.0
NH,0.11,0.09375,0.18072289156626506,0.0379746835443038,1.25,1.75,W,L,L,W,D,W,W,W,D,L,0,0,0,0,0,0,0,0,-0.5,0.75,-0.5,-0.375,13.0
H,0.06,0.07291666666666667,0.08433734939759036,0.13924050632911392,0.75,0.75,W,D,L,D,L,L,D,L,D,W,0,0,0,0,0,0,0,0,-0.125,-0.5,0.0,0.0,1.0
NH,0.07,0.07291666666666667,0.0963855421686747,0.08860759493670886,1.0,1.0,L,W,D,D,L,D,D,D,D,W,0,0,0,0,0,0,0,0,-0.125,0.0,0.0,-0.25,-3.0
H,0.08,0.13541666666666666,0.14457831325301204,0.22784810126582278,0.7777777777777778,1.1111111111111112,L,L,D,L,D,L,W,L,L,W,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.5555555555555556,-0.3333333333333333,-0.4444444444444444,-9.0
H,0.23,0.08333333333333333,0.024096385542168676,0.16455696202531644,2.111111111111111,0.6666666666666666,D,W,L,W,W,D,L,L,L,L,0,0,0,0,0,0,1,0,2.3333333333333335,-0.5555555555555556,1.4444444444444444,1.0,-14.0
H,0.07,0.09375,0.08433734939759036,0.1518987341772152,1.0,1.2222222222222223,D,D,D,D,D,D,L,W,D,L,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,-0.2222222222222222,0.0,7.0
NH,0.1,0.08333333333333333,0.08433734939759036,0.08860759493670886,1.5555555555555556,1.0,W,W,L,W,D,W,W,D,L,D,0,0,0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.2222222222222222,-4.0
H,0.11,0.09375,0.1686746987951807,0.11392405063291139,1.3333333333333333,1.0,D,D,W,W,D,L,D,D,D,W,0,0,0,0,0,0,0,0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,6.0
NH,0.06,0.125,0.18072289156626506,0.1518987341772152,0.6666666666666666,0.8888888888888888,D,D,W,D,L,D,L,L,W,L,0,0,0,0,0,0,0,0,-1.0,0.0,-0.2222222222222222,0.2222222222222222,-1.0
NH,0.06,0.125,0.18072289156626506,0.1518987341772152,1.0,1.2222222222222223,D,W,D,L,D,W,D,D,D,L,0,0,0,0,0,0,0,0,-1.0,0.0,-0.2222222222222222,0.0,2.0
H,0.07,0.07291666666666667,0.1566265060240964,0.10126582278481013,0.6666666666666666,1.0,L,L,D,L,D,D,L,W,D,D,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.1111111111111111,-0.3333333333333333,-0.4444444444444444,-3.0
NH,0.12,0.1875,0.060240963855421686,0.12658227848101267,1.8888888888888888,1.5555555555555556,W,W,W,W,D,W,L,L,D,W,0,0,0,0,0,0,0,0,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.6666666666666666,2.0
NH,0.09,0.1875,0.13253012048192772,0.13924050632911392,1.1111111111111112,1.5555555555555556,L,W,W,D,W,D,D,D,W,D,0,0,0,0,0,0,0,0,-0.2222222222222222,0.7777777777777778,-0.4444444444444444,0.3333333333333333,9.0
H,0.21,0.07291666666666667,0.12048192771084337,0.21518987341772153,1.7,0.6,W,W,L,L,D,L,D,D,W,D,0,0,0,0,0,0,0,0,1.1,-1.0,1.1,0.1,-14.0
NH,0.08,0.2604166666666667,0.12048192771084337,0.02531645569620253,0.9,2.2,L,D,L,W,D,W,D,W,L,W,0,0,0,0,0,0,0,0,-0.2,2.3,-1.3,-0.5,9.0
H,0.09,0.10416666666666667,0.0963855421686747,0.16455696202531644,1.0,1.0,D,W,W,D,L,L,L,W,W,D,0,0,0,0,0,0,0,0,0.1,-0.3,0.0,0.1,-3.0
H,0.1,0.07291666666666667,0.13253012048192772,0.20253164556962025,0.9,1.0,L,L,D,D,D,D,D,W,D,L,0,0,0,0,0,0,0,0,-0.1,-0.9,-0.1,-0.3,-4.0
H,0.2,0.11458333333333333,0.14457831325301204,0.10126582278481013,1.7,1.5,W,D,D,D,W,D,W,W,L,W,0,0,0,0,0,0,0,0,0.8,0.3,0.2,-0.1,-2.0
H,0.08,0.125,0.18072289156626506,0.10126582278481013,0.6,1.7,L,D,L,L,L,L,W,W,W,W,0,0,1,0,1,0,0,0,-0.7,0.4,-1.1,-1.1,10.0
NH,0.09,0.10416666666666667,0.1566265060240964,0.1518987341772152,1.1,1.0,L,D,L,W,D,W,L,L,D,L,0,0,0,0,0,0,0,0,-0.4,-0.2,0.1,0.1,-3.0
NH,0.13,0.09375,0.1566265060240964,0.17721518987341772,1.2,0.9,D,W,D,D,D,W,L,L,D,L,0,0,0,0,0,0,0,0,0.0,-0.5,0.3,0.3,7.0
H,0.14,0.08333333333333333,0.1566265060240964,0.08860759493670886,1.1,1.2,W,D,L,L,W,W,D,D,D,D,0,0,0,0,0,0,0,0,0.1,0.1,-0.1,0.0,5.0
H,0.13,0.13541666666666666,0.24096385542168675,0.189873417721519,1.0,1.5,L,L,W,L,L,W,D,D,W,W,0,0,0,0,0,0,0,0,-0.7,-0.2,-0.5,-0.8,0.0
NH,0.1,0.07291666666666667,0.14457831325301204,0.22784810126582278,1.0,0.5454545454545454,D,W,L,L,D,L,L,D,D,W,0,0,0,0,0,0,0,0,-0.18181818181818182,-1.0,0.45454545454545453,0.0,-8.0
H,0.09,0.07291666666666667,0.14457831325301204,0.22784810126582278,0.8181818181818182,0.9090909090909091,L,L,D,L,W,L,D,D,W,D,0,0,0,0,0,0,0,0,-0.2727272727272727,-1.0,-0.09090909090909091,-0.18181818181818182,-6.0
NH,0.15,0.10416666666666667,0.25301204819277107,0.10126582278481013,1.1818181818181819,1.1818181818181819,W,L,L,W,L,W,D,W,W,D,0,0,0,0,0,0,0,0,-0.5454545454545454,0.18181818181818182,0.0,-0.45454545454545453,10.0
